idx,code,ast,label
10,"def bf(planet1, planet2):
    planet_names = (""Mercury"", ""Venus"", ""Earth"", ""Mars"", ""Jupiter"", ""Saturn"", ""Uranus"", ""Neptune"")
    if planet1 not in planet_names or planet2 not in planet_names or planet1 == planet2:
        return ()
    planet1_index = planet_names.index(planet1)
    planet2_index = planet_names.index(planet2)
    if planet1_index < planet2_index:
        return (planet_names[planet1_index + 1: planet2_index])
    else:
        return (planet_names[planet2_index + 1 : planet1_index])
","module::left function_definition::left def bf parameters::left ( planet1 , planet2 ) parameters::right : block::left expression_statement::left assignment::left planet_names = tuple::left ( string::left "" Mercury "" string::right , string::left "" Venus "" string::right , string::left "" Earth "" string::right , string::left "" Mars "" string::right , string::left "" Jupiter "" string::right , string::left "" Saturn "" string::right , string::left "" Uranus "" string::right , string::left "" Neptune "" string::right ) tuple::right assignment::right expression_statement::right if_statement::left if boolean_operator::left boolean_operator::left comparison_operator::left planet1 not in planet_names comparison_operator::right or comparison_operator::left planet2 not in planet_names comparison_operator::right boolean_operator::right or comparison_operator::left planet1 == planet2 comparison_operator::right boolean_operator::right : block::left return_statement::left return tuple::left ( ) tuple::right return_statement::right block::right if_statement::right expression_statement::left assignment::left planet1_index = call::left attribute::left planet_names . index attribute::right argument_list::left ( planet1 ) argument_list::right call::right assignment::right expression_statement::right expression_statement::left assignment::left planet2_index = call::left attribute::left planet_names . index attribute::right argument_list::left ( planet2 ) argument_list::right call::right assignment::right expression_statement::right if_statement::left if comparison_operator::left planet1_index < planet2_index comparison_operator::right : block::left return_statement::left return parenthesized_expression::left ( subscript::left planet_names [ slice::left binary_operator::left planet1_index + 1 binary_operator::right : planet2_index slice::right ] subscript::right ) parenthesized_expression::right return_statement::right block::right else_clause::left else : block::left return_statement::left return parenthesized_expression::left ( subscript::left planet_names [ slice::left binary_operator::left planet2_index + 1 binary_operator::right : planet1_index slice::right ] subscript::right ) parenthesized_expression::right return_statement::right block::right else_clause::right if_statement::right block::right function_definition::right module::right",human
11,"def encode_shift(s: str):
    """"""
    returns encoded string by shifting every character by 5 in the alphabet.
    """"""
    return """".join([chr(((ord(ch) + 5 - ord(""a"")) % 26) + ord(""a"")) for ch in s])


def decode_shift(s: str):
    return """".join([chr(((ord(ch) - 5 - ord(""a"")) % 26) + ord(""a"")) for ch in s])
","module::left function_definition::left def encode_shift parameters::left ( typed_parameter::left s : type::left str type::right typed_parameter::right ) parameters::right : block::left expression_statement::left string::left """""" 
    returns encoded string by shifting every character by 5 in the alphabet.
     """""" string::right expression_statement::right return_statement::left return call::left attribute::left string::left "" "" string::right . join attribute::right argument_list::left ( list_comprehension::left [ call::left chr argument_list::left ( binary_operator::left parenthesized_expression::left ( binary_operator::left parenthesized_expression::left ( binary_operator::left binary_operator::left call::left ord argument_list::left ( ch ) argument_list::right call::right + 5 binary_operator::right - call::left ord argument_list::left ( string::left "" a "" string::right ) argument_list::right call::right binary_operator::right ) parenthesized_expression::right % 26 binary_operator::right ) parenthesized_expression::right + call::left ord argument_list::left ( string::left "" a "" string::right ) argument_list::right call::right binary_operator::right ) argument_list::right call::right for_in_clause::left for ch in s for_in_clause::right ] list_comprehension::right ) argument_list::right call::right return_statement::right block::right function_definition::right function_definition::left def decode_shift parameters::left ( typed_parameter::left s : type::left str type::right typed_parameter::right ) parameters::right : block::left return_statement::left return call::left attribute::left string::left "" "" string::right . join attribute::right argument_list::left ( list_comprehension::left [ call::left chr argument_list::left ( binary_operator::left parenthesized_expression::left ( binary_operator::left parenthesized_expression::left ( binary_operator::left binary_operator::left call::left ord argument_list::left ( ch ) argument_list::right call::right - 5 binary_operator::right - call::left ord argument_list::left ( string::left "" a "" string::right ) argument_list::right call::right binary_operator::right ) parenthesized_expression::right % 26 binary_operator::right ) parenthesized_expression::right + call::left ord argument_list::left ( string::left "" a "" string::right ) argument_list::right call::right binary_operator::right ) argument_list::right call::right for_in_clause::left for ch in s for_in_clause::right ] list_comprehension::right ) argument_list::right call::right return_statement::right block::right function_definition::right module::right",human
12,"def get_row(lst, x):
    result = []
    for i in range(len(lst)):
      for j in range(len(lst[i])):
        if lst[i][j] == x:
          result.append((i, j))

    return sorted(result, key = lambda x: (x[0], -x[1]))","module::left function_definition::left def get_row parameters::left ( lst , x ) parameters::right : block::left expression_statement::left assignment::left result = list::left [ ] list::right assignment::right expression_statement::right for_statement::left for i in call::left range argument_list::left ( call::left len argument_list::left ( lst ) argument_list::right call::right ) argument_list::right call::right : block::left for_statement::left for j in call::left range argument_list::left ( call::left len argument_list::left ( subscript::left lst [ i ] subscript::right ) argument_list::right call::right ) argument_list::right call::right : block::left if_statement::left if comparison_operator::left subscript::left subscript::left lst [ i ] subscript::right [ j ] subscript::right == x comparison_operator::right : block::left expression_statement::left call::left attribute::left result . append attribute::right argument_list::left ( tuple::left ( i , j ) tuple::right ) argument_list::right call::right expression_statement::right block::right if_statement::right block::right for_statement::right block::right for_statement::right return_statement::left return call::left sorted argument_list::left ( result , keyword_argument::left key = lambda::left lambda lambda_parameters::left x lambda_parameters::right : tuple::left ( subscript::left x [ 0 ] subscript::right , unary_operator::left - subscript::left x [ 1 ] subscript::right unary_operator::right ) tuple::right lambda::right keyword_argument::right ) argument_list::right call::right return_statement::right block::right function_definition::right module::right",lm
13,"def is_palindrome(string: str) -> bool:
    """""" Test if given string is a palindrome """"""
    return string == string[::-1]


def make_palindrome(string: str) -> str:
    """""" Find the shortest palindrome that begins with a supplied string.
    Algorithm idea is simple:
    - Find the longest postfix of supplied string that is a palindrome.
    - Append to the end of the string reverse of a string prefix that comes before the palindromic suffix.
    >>> make_palindrome('')
    ''
    >>> make_palindrome('cat')
    'catac'
    >>> make_palindrome('cata')
    'catac'
    """"""
    reversed_string = string[::-1]

    # Find the longest postfix of a supplied string that is a palindrome
    # Update the result only if is not already a palindrome
    result = ''

    for index in range(len(string)):
        postfix = string[index:]
        if is_palindrome(postfix) and (index > len(result)):
            result = postfix

    # Append the reversed prefix to the end of the supplied string
    return string + reversed_string[len(result):]","module::left function_definition::left def is_palindrome parameters::left ( typed_parameter::left string : type::left str type::right typed_parameter::right ) parameters::right -> type::left bool type::right : block::left expression_statement::left string::left """"""  Test if given string is a palindrome  """""" string::right expression_statement::right return_statement::left return comparison_operator::left string == subscript::left string [ slice::left : : unary_operator::left - 1 unary_operator::right slice::right ] subscript::right comparison_operator::right return_statement::right block::right function_definition::right function_definition::left def make_palindrome parameters::left ( typed_parameter::left string : type::left str type::right typed_parameter::right ) parameters::right -> type::left str type::right : block::left expression_statement::left string::left """"""  Find the shortest palindrome that begins with a supplied string.
    Algorithm idea is simple:
    - Find the longest postfix of supplied string that is a palindrome.
    - Append to the end of the string reverse of a string prefix that comes before the palindromic suffix.
    >>> make_palindrome('')
    ''
    >>> make_palindrome('cat')
    'catac'
    >>> make_palindrome('cata')
    'catac'
     """""" string::right expression_statement::right expression_statement::left assignment::left reversed_string = subscript::left string [ slice::left : : unary_operator::left - 1 unary_operator::right slice::right ] subscript::right assignment::right expression_statement::right # Find the longest postfix of a supplied string that is a palindrome # Update the result only if is not already a palindrome expression_statement::left assignment::left result = string::left ' ' string::right assignment::right expression_statement::right for_statement::left for index in call::left range argument_list::left ( call::left len argument_list::left ( string ) argument_list::right call::right ) argument_list::right call::right : block::left expression_statement::left assignment::left postfix = subscript::left string [ slice::left index : slice::right ] subscript::right assignment::right expression_statement::right if_statement::left if boolean_operator::left call::left is_palindrome argument_list::left ( postfix ) argument_list::right call::right and parenthesized_expression::left ( comparison_operator::left index > call::left len argument_list::left ( result ) argument_list::right call::right comparison_operator::right ) parenthesized_expression::right boolean_operator::right : block::left expression_statement::left assignment::left result = postfix assignment::right expression_statement::right block::right if_statement::right block::right for_statement::right # Append the reversed prefix to the end of the supplied string return_statement::left return binary_operator::left string + subscript::left reversed_string [ slice::left call::left len argument_list::left ( result ) argument_list::right call::right : slice::right ] subscript::right binary_operator::right return_statement::right block::right function_definition::right module::right",lm
14,"def will_it_fly(q,w):
    if sum(q) > w:
        return False

    i, j = 0, len(q)-1
    while i<j:
        if q[i] != q[j]:
            return False
        i+=1
        j-=1
    return True
","module::left function_definition::left def will_it_fly parameters::left ( q , w ) parameters::right : block::left if_statement::left if comparison_operator::left call::left sum argument_list::left ( q ) argument_list::right call::right > w comparison_operator::right : block::left return_statement::left return False return_statement::right block::right if_statement::right expression_statement::left assignment::left pattern_list::left i , j pattern_list::right = expression_list::left 0 , binary_operator::left call::left len argument_list::left ( q ) argument_list::right call::right - 1 binary_operator::right expression_list::right assignment::right expression_statement::right while_statement::left while comparison_operator::left i < j comparison_operator::right : block::left if_statement::left if comparison_operator::left subscript::left q [ i ] subscript::right != subscript::left q [ j ] subscript::right comparison_operator::right : block::left return_statement::left return False return_statement::right block::right if_statement::right expression_statement::left augmented_assignment::left i += 1 augmented_assignment::right expression_statement::right expression_statement::left augmented_assignment::left j -= 1 augmented_assignment::right expression_statement::right block::right while_statement::right return_statement::left return True return_statement::right block::right function_definition::right module::right",human
15,"def add(lst):
    return sum([lst[i] for i in range(1, len(lst), 2) if lst[i]%2 == 0])
","module::left function_definition::left def add parameters::left ( lst ) parameters::right : block::left return_statement::left return call::left sum argument_list::left ( list_comprehension::left [ subscript::left lst [ i ] subscript::right for_in_clause::left for i in call::left range argument_list::left ( 1 , call::left len argument_list::left ( lst ) argument_list::right call::right , 2 ) argument_list::right call::right for_in_clause::right if_clause::left if comparison_operator::left binary_operator::left subscript::left lst [ i ] subscript::right % 2 binary_operator::right == 0 comparison_operator::right if_clause::right ] list_comprehension::right ) argument_list::right call::right return_statement::right block::right function_definition::right module::right",human
16,"def eat(number, need, remaining):
    
    total_eaten_carrots = number + need
    
    if total_eaten_carrots <= remaining:
        remaining_carrots = remaining - total_eaten_carrots
    else:
        remaining_carrots = 0
    
    return [total_eaten_carrots, remaining_carrots]","module::left function_definition::left def eat parameters::left ( number , need , remaining ) parameters::right : block::left expression_statement::left assignment::left total_eaten_carrots = binary_operator::left number + need binary_operator::right assignment::right expression_statement::right if_statement::left if comparison_operator::left total_eaten_carrots <= remaining comparison_operator::right : block::left expression_statement::left assignment::left remaining_carrots = binary_operator::left remaining - total_eaten_carrots binary_operator::right assignment::right expression_statement::right block::right else_clause::left else : block::left expression_statement::left assignment::left remaining_carrots = 0 assignment::right expression_statement::right block::right else_clause::right if_statement::right return_statement::left return list::left [ total_eaten_carrots , remaining_carrots ] list::right return_statement::right block::right function_definition::right module::right",lm
17,"from typing import List


def string_xor(a: str, b: str) -> str:
    def xor(i, j):
        if i == j:
            return '0'
        else:
            return '1'

    return ''.join(xor(x, y) for x, y in zip(a, b))
","module::left import_from_statement::left from dotted_name::left typing dotted_name::right import dotted_name::left List dotted_name::right import_from_statement::right function_definition::left def string_xor parameters::left ( typed_parameter::left a : type::left str type::right typed_parameter::right , typed_parameter::left b : type::left str type::right typed_parameter::right ) parameters::right -> type::left str type::right : block::left function_definition::left def xor parameters::left ( i , j ) parameters::right : block::left if_statement::left if comparison_operator::left i == j comparison_operator::right : block::left return_statement::left return string::left ' 0 ' string::right return_statement::right block::right else_clause::left else : block::left return_statement::left return string::left ' 1 ' string::right return_statement::right block::right else_clause::right if_statement::right block::right function_definition::right return_statement::left return call::left attribute::left string::left ' ' string::right . join attribute::right generator_expression::left ( call::left xor argument_list::left ( x , y ) argument_list::right call::right for_in_clause::left for pattern_list::left x , y pattern_list::right in call::left zip argument_list::left ( a , b ) argument_list::right call::right for_in_clause::right ) generator_expression::right call::right return_statement::right block::right function_definition::right module::right",human
18,"def iscube(a):
    a = abs(a)
    return int(round(a ** (1. / 3))) ** 3 == a
",module::left function_definition::left def iscube parameters::left ( a ) parameters::right : block::left expression_statement::left assignment::left a = call::left abs argument_list::left ( a ) argument_list::right call::right assignment::right expression_statement::right return_statement::left return comparison_operator::left binary_operator::left call::left int argument_list::left ( call::left round argument_list::left ( binary_operator::left a ** parenthesized_expression::left ( binary_operator::left 1. / 3 binary_operator::right ) parenthesized_expression::right binary_operator::right ) argument_list::right call::right ) argument_list::right call::right ** 3 binary_operator::right == a comparison_operator::right return_statement::right block::right function_definition::right module::right,human
19,"from typing import List


def factorize(n: int) -> List[int]:
    factors = []
    divisor = 2
    while divisor <= n:
        if n % divisor == 0:
            factors.append(divisor)
            n //= divisor
        else:
            divisor += 1
    return factors",module::left import_from_statement::left from dotted_name::left typing dotted_name::right import dotted_name::left List dotted_name::right import_from_statement::right function_definition::left def factorize parameters::left ( typed_parameter::left n : type::left int type::right typed_parameter::right ) parameters::right -> type::left generic_type::left List type_parameter::left [ type::left int type::right ] type_parameter::right generic_type::right type::right : block::left expression_statement::left assignment::left factors = list::left [ ] list::right assignment::right expression_statement::right expression_statement::left assignment::left divisor = 2 assignment::right expression_statement::right while_statement::left while comparison_operator::left divisor <= n comparison_operator::right : block::left if_statement::left if comparison_operator::left binary_operator::left n % divisor binary_operator::right == 0 comparison_operator::right : block::left expression_statement::left call::left attribute::left factors . append attribute::right argument_list::left ( divisor ) argument_list::right call::right expression_statement::right expression_statement::left augmented_assignment::left n //= divisor augmented_assignment::right expression_statement::right block::right else_clause::left else : block::left expression_statement::left augmented_assignment::left divisor += 1 augmented_assignment::right expression_statement::right block::right else_clause::right if_statement::right block::right while_statement::right return_statement::left return factors return_statement::right block::right function_definition::right module::right,lm
