model,fpr,tpr,threshold
codellama-7b,0.1733333333333333,0.5533333333333333,0.5906
codellama-7b,0.18,0.5533333333333333,0.5846
codellama-7b,0.18,0.5666666666666667,0.5666
codellama-7b,0.2,0.5666666666666667,0.5125
codellama-7b,0.2,0.6133333333333333,0.4314
codellama-7b,0.22,0.6133333333333333,0.3978
codellama-7b,0.22,0.62,0.3557
codellama-7b,0.2466666666666666,0.62,0.2996
codellama-7b,0.2466666666666666,0.6266666666666667,0.2937
codellama-7b,0.2533333333333333,0.6266666666666667,0.2906
codellama-7b,0.2533333333333333,0.6466666666666666,0.2799
codellama-7b,0.26,0.6466666666666666,0.2736
codellama-7b,0.26,0.66,0.2372
codellama-7b,0.2866666666666667,0.66,0.1946
codellama-7b,0.2866666666666667,0.6666666666666666,0.1872
codellama-7b,0.3,0.6666666666666666,0.1742
codellama-7b,0.3,0.7,0.1274
codellama-7b,0.3066666666666666,0.7,0.0976
codellama-7b,0.3066666666666666,0.72,0.0805
codellama-7b,0.3466666666666667,0.72,0.0127
codellama-7b,0.3466666666666667,0.74,-0.0565
codellama-7b,0.3533333333333333,0.74,-0.074
codellama-7b,0.3533333333333333,0.76,-0.09
codellama-7b,0.36,0.76,-0.1135
codellama-7b,0.36,0.7666666666666667,-0.1298
codellama-7b,0.3666666666666666,0.7666666666666667,-0.143
codellama-7b,0.3666666666666666,0.7933333333333333,-0.1636
codellama-7b,0.4066666666666667,0.7933333333333333,-0.1958
codellama-7b,0.4066666666666667,0.82,-0.2255
codellama-7b,0.4466666666666666,0.82,-0.3401
codellama-7b,0.4466666666666666,0.8333333333333334,-0.3453
codellama-7b,0.4533333333333333,0.8333333333333334,-0.4026
codellama-7b,0.4533333333333333,0.84,-0.4132
codellama-7b,0.5,0.84,-0.4885
codellama-7b,0.5,0.8466666666666667,-0.4923
codellama-7b,0.5333333333333333,0.8466666666666667,-0.5527
codellama-7b,0.5333333333333333,0.8533333333333334,-0.5783
codellama-7b,0.56,0.8533333333333334,-0.5971
codellama-7b,0.5666666666666667,0.86,-0.6039
codellama-7b,0.5666666666666667,0.8666666666666667,-0.6244
codellama-7b,0.5733333333333334,0.8666666666666667,-0.6275
codellama-7b,0.5733333333333334,0.8733333333333333,-0.6435
codellama-7b,0.5933333333333334,0.8733333333333333,-0.6772
codellama-7b,0.5933333333333334,0.88,-0.7167
codellama-7b,0.6,0.88,-0.7222
codellama-7b,0.6,0.8866666666666667,-0.7532
codellama-7b,0.6133333333333333,0.8866666666666667,-0.7581
codellama-7b,0.6133333333333333,0.8933333333333333,-0.7612
codellama-7b,0.62,0.8933333333333333,-0.7681
codellama-7b,0.62,0.9066666666666666,-0.8076
codellama-7b,0.66,0.9066666666666666,-0.9062
codellama-7b,0.66,0.9133333333333332,-0.9112
codellama-7b,0.6866666666666666,0.9133333333333332,-1.0769
codellama-7b,0.6866666666666666,0.92,-1.101
codellama-7b,0.7133333333333334,0.92,-1.1975
codellama-7b,0.7133333333333334,0.9266666666666666,-1.2024
codellama-7b,0.7266666666666667,0.9266666666666666,-1.205
codellama-7b,0.7266666666666667,0.9333333333333332,-1.2223
codellama-7b,0.7333333333333333,0.9333333333333332,-1.2735
codellama-7b,0.7333333333333333,0.94,-1.3022
codellama-7b,0.76,0.94,-1.3635
codellama-7b,0.76,0.9466666666666668,-1.4315
codellama-7b,0.7666666666666667,0.9466666666666668,-1.4439
codellama-7b,0.7666666666666667,0.9533333333333334,-1.4562
codellama-7b,0.78,0.9533333333333334,-1.53
codellama-7b,0.78,0.9666666666666668,-1.5657
codellama-7b,0.8533333333333334,0.9666666666666668,-1.9103
codellama-7b,0.8533333333333334,0.9733333333333334,-1.9139
codellama-7b,0.86,0.9733333333333334,-2.0082
codellama-7b,0.86,0.98,-2.0603
codellama-7b,0.8666666666666667,0.98,-2.0931
codellama-7b,0.8733333333333333,0.9866666666666668,-2.1164
codellama-7b,0.88,0.9866666666666668,-2.1368
codellama-7b,0.88,0.9933333333333332,-2.1567
codellama-7b,0.8866666666666667,0.9933333333333332,-2.2275
codellama-7b,0.8866666666666667,1.0,-2.2705
codellama-7b,1.0,1.0,-3.7458
gemma,0.0,0.0,inf
gemma,0.0,0.0066666666666666,3.6998
gemma,0.0,0.1333333333333333,1.8448
gemma,0.0066666666666666,0.1333333333333333,1.8282
gemma,0.0066666666666666,0.16,1.6658
gemma,0.0133333333333333,0.16,1.65
gemma,0.0133333333333333,0.2266666666666666,1.5135
gemma,0.02,0.2266666666666666,1.5104
gemma,0.02,0.2333333333333333,1.478
gemma,0.0266666666666666,0.2333333333333333,1.476
gemma,0.0266666666666666,0.28,1.368
gemma,0.0333333333333333,0.28,1.3316
gemma,0.0333333333333333,0.2866666666666667,1.319
gemma,0.0466666666666666,0.2866666666666667,1.2932
gemma,0.0466666666666666,0.2933333333333333,1.2841
gemma,0.0533333333333333,0.2933333333333333,1.2412
gemma,0.0533333333333333,0.32,1.1686
gemma,0.06,0.32,1.1569
gemma,0.06,0.3533333333333333,1.0498
gemma,0.0733333333333333,0.3533333333333333,0.9928
gemma,0.0733333333333333,0.36,0.9697
gemma,0.08,0.36,0.9647
gemma,0.08,0.3666666666666666,0.9644
gemma,0.0933333333333333,0.3666666666666666,0.9517
gemma,0.0933333333333333,0.38,0.9426
gemma,0.1,0.38,0.9363
gemma,0.1,0.3866666666666666,0.9208
gemma,0.1066666666666666,0.3866666666666666,0.8896
gemma,0.1066666666666666,0.4,0.8785
gemma,0.1066666666666666,0.42,0.7949
gemma,0.1133333333333333,0.42,0.7844
gemma,0.1133333333333333,0.4466666666666666,0.7161
gemma,0.1266666666666666,0.4466666666666666,0.6935
gemma,0.1266666666666666,0.4533333333333333,0.6714
gemma,0.1333333333333333,0.4533333333333333,0.6685
gemma,0.1333333333333333,0.46,0.6604
gemma,0.14,0.46,0.6585
gemma,0.14,0.4666666666666667,0.6507
gemma,0.1533333333333333,0.4666666666666667,0.6117
gemma,0.1533333333333333,0.4733333333333333,0.61
gemma,0.1733333333333333,0.4733333333333333,0.5853
gemma,0.1733333333333333,0.4866666666666667,0.5551
gemma,0.18,0.4866666666666667,0.5484
gemma,0.18,0.5,0.5423
gemma,0.1866666666666666,0.5,0.5391
gemma,0.1866666666666666,0.52,0.5045
gemma,0.1933333333333333,0.5266666666666666,0.4926
gemma,0.1933333333333333,0.5333333333333333,0.4851
gemma,0.2,0.5333333333333333,0.4479
gemma,0.2,0.54,0.441
gemma,0.2133333333333333,0.54,0.4319
gemma,0.2133333333333333,0.5466666666666666,0.4305
gemma,0.2333333333333333,0.5466666666666666,0.3902
gemma,0.2333333333333333,0.5733333333333334,0.3594
gemma,0.24,0.5733333333333334,0.3447
gemma,0.24,0.6066666666666667,0.2409
gemma,0.2533333333333333,0.6066666666666667,0.2324
gemma,0.2533333333333333,0.6133333333333333,0.196
gemma,0.2666666666666666,0.6133333333333333,0.1726
gemma,0.2666666666666666,0.6266666666666667,0.1439
gemma,0.2866666666666667,0.6266666666666667,0.1421
gemma,0.2866666666666667,0.6533333333333333,0.1213
gemma,0.2933333333333333,0.6533333333333333,0.1176
gemma,0.2933333333333333,0.66,0.0921
gemma,0.3133333333333333,0.66,0.0346
gemma,0.3133333333333333,0.6666666666666666,-0.0001
gemma,0.3266666666666666,0.6666666666666666,-0.0131
gemma,0.3266666666666666,0.6733333333333333,-0.0159
gemma,0.3333333333333333,0.6733333333333333,-0.0405
gemma,0.3333333333333333,0.68,-0.0485
gemma,0.3466666666666667,0.68,-0.0555
gemma,0.3466666666666667,0.6933333333333334,-0.079
gemma,0.36,0.6933333333333334,-0.097
gemma,0.36,0.7066666666666667,-0.1138
gemma,0.3733333333333333,0.7066666666666667,-0.119
gemma,0.3733333333333333,0.72,-0.1535
gemma,0.38,0.72,-0.1619
gemma,0.38,0.7466666666666667,-0.1798
gemma,0.4333333333333333,0.7466666666666667,-0.2081
gemma,0.4333333333333333,0.76,-0.2478
gemma,0.4533333333333333,0.76,-0.2832
gemma,0.4533333333333333,0.7666666666666667,-0.2937
gemma,0.46,0.7666666666666667,-0.3031
gemma,0.46,0.7733333333333333,-0.3057
gemma,0.4666666666666667,0.7733333333333333,-0.3232
gemma,0.4666666666666667,0.8,-0.3557
gemma,0.5,0.8,-0.3863
gemma,0.5,0.8066666666666666,-0.4077
gemma,0.5066666666666667,0.8066666666666666,-0.4629
gemma,0.5066666666666667,0.82,-0.4931
gemma,0.52,0.82,-0.5448
gemma,0.52,0.8266666666666667,-0.5455
gemma,0.54,0.8266666666666667,-0.5689
gemma,0.54,0.84,-0.5734
gemma,0.5466666666666666,0.84,-0.6154
gemma,0.5466666666666666,0.8533333333333334,-0.6275
gemma,0.5533333333333333,0.8533333333333334,-0.6304
gemma,0.5533333333333333,0.86,-0.6366
gemma,0.5733333333333334,0.86,-0.6935
gemma,0.5733333333333334,0.8666666666666667,-0.6994
gemma,0.6,0.8666666666666667,-0.7745
gemma,0.6,0.88,-0.7761
gemma,0.6066666666666667,0.88,-0.7814
gemma,0.6066666666666667,0.8933333333333333,-0.8092
gemma,0.6333333333333333,0.8933333333333333,-0.8615
gemma,0.6333333333333333,0.9,-0.869
gemma,0.6666666666666666,0.9,-0.9236
gemma,0.6666666666666666,0.9133333333333332,-0.9375
gemma,0.6733333333333333,0.9133333333333332,-0.9524
gemma,0.6733333333333333,0.92,-0.9857
gemma,0.7066666666666667,0.92,-1.1067
gemma,0.7066666666666667,0.9333333333333332,-1.1148
gemma,0.7733333333333333,0.9333333333333332,-1.1737
gemma,0.7733333333333333,0.94,-1.2008
gemma,0.7866666666666666,0.94,-1.2594
gemma,0.7866666666666666,0.9466666666666668,-1.2793
gemma,0.8066666666666666,0.9466666666666668,-1.3234
gemma,0.8066666666666666,0.9533333333333334,-1.3525
gemma,0.82,0.9533333333333334,-1.3565
gemma,0.82,0.96,-1.3757
gemma,0.8666666666666667,0.96,-1.538
gemma,0.8666666666666667,0.9666666666666668,-1.5566
gemma,0.9,0.9666666666666668,-1.8068
gemma,0.9,0.9733333333333334,-1.8071
gemma,0.9066666666666666,0.9733333333333334,-1.8206
gemma,0.9066666666666666,0.98,-1.8306
gemma,0.9133333333333332,0.98,-1.8587
gemma,0.9133333333333332,0.9933333333333332,-1.9802
gemma,0.9533333333333334,0.9933333333333332,-2.2338
gemma,0.9533333333333334,1.0,-2.2438
gemma,1.0,1.0,-4.3841
gpt-oss,0.0,0.0,inf
gpt-oss,0.0,0.0066666666666666,4.5584
gpt-oss,0.0,0.1866666666666666,1.9061
gpt-oss,0.0066666666666666,0.1866666666666666,1.9019
gpt-oss,0.0066666666666666,0.28,1.5234
gpt-oss,0.02,0.28,1.4858
gpt-oss,0.02,0.2866666666666667,1.4802
gpt-oss,0.0266666666666666,0.2866666666666667,1.4778
gpt-oss,0.0266666666666666,0.3333333333333333,1.3712
gpt-oss,0.0333333333333333,0.3333333333333333,1.3561
gpt-oss,0.0333333333333333,0.3933333333333333,1.2714
gpt-oss,0.04,0.3933333333333333,1.2663
gpt-oss,0.04,0.4,1.2304
gpt-oss,0.0466666666666666,0.4,1.2259
gpt-oss,0.0466666666666666,0.4333333333333333,1.0406
gpt-oss,0.0533333333333333,0.4333333333333333,1.0331
gpt-oss,0.0533333333333333,0.4866666666666667,0.9373
gpt-oss,0.06,0.4866666666666667,0.9328
gpt-oss,0.06,0.4933333333333333,0.9126
gpt-oss,0.0666666666666666,0.4933333333333333,0.8977
gpt-oss,0.0666666666666666,0.5,0.8881
gpt-oss,0.08,0.5,0.8679
gpt-oss,0.08,0.5466666666666666,0.7577
gpt-oss,0.0866666666666666,0.5466666666666666,0.757
gpt-oss,0.0866666666666666,0.5533333333333333,0.7407
gpt-oss,0.0933333333333333,0.5533333333333333,0.7368
gpt-oss,0.0933333333333333,0.5666666666666667,0.7258
gpt-oss,0.1,0.5666666666666667,0.7054
gpt-oss,0.1,0.6266666666666667,0.6139
gpt-oss,0.1066666666666666,0.6266666666666667,0.6076
gpt-oss,0.1066666666666666,0.6333333333333333,0.6072
gpt-oss,0.1133333333333333,0.6333333333333333,0.5744
gpt-oss,0.1133333333333333,0.6466666666666666,0.5628
gpt-oss,0.12,0.6466666666666666,0.5567
gpt-oss,0.12,0.7133333333333334,0.391
gpt-oss,0.14,0.7133333333333334,0.3136
gpt-oss,0.14,0.7333333333333333,0.2985
gpt-oss,0.1466666666666666,0.7333333333333333,0.2967
gpt-oss,0.1466666666666666,0.7533333333333333,0.2435
gpt-oss,0.1533333333333333,0.7533333333333333,0.2259
gpt-oss,0.1533333333333333,0.76,0.2154
gpt-oss,0.16,0.76,0.1914
gpt-oss,0.16,0.7733333333333333,0.1723
gpt-oss,0.1666666666666666,0.7733333333333333,0.1597
gpt-oss,0.1666666666666666,0.78,0.1498
gpt-oss,0.1733333333333333,0.78,0.1406
gpt-oss,0.1733333333333333,0.7866666666666666,0.1401
gpt-oss,0.18,0.7866666666666666,0.1015
gpt-oss,0.18,0.8066666666666666,0.0735
gpt-oss,0.2,0.8066666666666666,0.0289
gpt-oss,0.2,0.82,0.0145
gpt-oss,0.22,0.82,-0.0092
gpt-oss,0.22,0.8266666666666667,-0.0252
gpt-oss,0.2333333333333333,0.8266666666666667,-0.0646
gpt-oss,0.2333333333333333,0.84,-0.0868
gpt-oss,0.24,0.84,-0.0948
gpt-oss,0.24,0.8466666666666667,-0.1212
gpt-oss,0.2466666666666666,0.8466666666666667,-0.1449
gpt-oss,0.2466666666666666,0.8533333333333334,-0.1849
gpt-oss,0.2533333333333333,0.8533333333333334,-0.1917
gpt-oss,0.2533333333333333,0.8733333333333333,-0.269
gpt-oss,0.2733333333333333,0.8733333333333333,-0.3121
gpt-oss,0.2733333333333333,0.8933333333333333,-0.3838
gpt-oss,0.2933333333333333,0.8933333333333333,-0.3997
gpt-oss,0.2933333333333333,0.9,-0.4258
gpt-oss,0.3133333333333333,0.9,-0.4591
gpt-oss,0.3133333333333333,0.9066666666666666,-0.4903
gpt-oss,0.3266666666666666,0.9066666666666666,-0.5002
gpt-oss,0.3266666666666666,0.9133333333333332,-0.5131
gpt-oss,0.3733333333333333,0.9133333333333332,-0.5785
gpt-oss,0.3733333333333333,0.92,-0.5971
gpt-oss,0.3866666666666666,0.92,-0.613
gpt-oss,0.3866666666666666,0.9266666666666666,-0.6393
gpt-oss,0.3933333333333333,0.9266666666666666,-0.6728
gpt-oss,0.3933333333333333,0.9333333333333332,-0.6887
gpt-oss,0.4133333333333333,0.9333333333333332,-0.8186
gpt-oss,0.4133333333333333,0.94,-0.8346
gpt-oss,0.44,0.94,-0.8595
gpt-oss,0.44,0.9466666666666668,-0.8767
gpt-oss,0.4666666666666667,0.9466666666666668,-0.9229
gpt-oss,0.4666666666666667,0.9533333333333334,-0.9245
gpt-oss,0.4866666666666667,0.9533333333333334,-0.9647
gpt-oss,0.4866666666666667,0.9733333333333334,-0.9889
gpt-oss,0.6,0.9733333333333334,-1.49
gpt-oss,0.6,0.98,-1.4963
gpt-oss,0.6666666666666666,0.98,-1.9751
gpt-oss,0.6666666666666666,0.9866666666666668,-1.9789
gpt-oss,0.74,0.9866666666666668,-2.1601
gpt-oss,0.74,0.9933333333333332,-2.1621
gpt-oss,0.7933333333333333,0.9933333333333332,-2.3458
gpt-oss,0.7933333333333333,1.0,-2.3779
gpt-oss,1.0,1.0,-4.1658
starcoder2-15b-instruct-v0.1,0.0,0.0,inf
starcoder2-15b-instruct-v0.1,0.0,0.0066666666666666,2.9827
starcoder2-15b-instruct-v0.1,0.0,0.0666666666666666,2.6235
starcoder2-15b-instruct-v0.1,0.0066666666666666,0.0666666666666666,2.5846
starcoder2-15b-instruct-v0.1,0.0066666666666666,0.1,2.2619
starcoder2-15b-instruct-v0.1,0.0133333333333333,0.1,2.1869
starcoder2-15b-instruct-v0.1,0.0133333333333333,0.2133333333333333,1.6147
starcoder2-15b-instruct-v0.1,0.02,0.2133333333333333,1.5761
starcoder2-15b-instruct-v0.1,0.02,0.26,1.4935
starcoder2-15b-instruct-v0.1,0.0266666666666666,0.26,1.4894
starcoder2-15b-instruct-v0.1,0.0266666666666666,0.2733333333333333,1.4798
starcoder2-15b-instruct-v0.1,0.0333333333333333,0.2733333333333333,1.4734
starcoder2-15b-instruct-v0.1,0.0333333333333333,0.2933333333333333,1.4366
starcoder2-15b-instruct-v0.1,0.04,0.2933333333333333,1.3985
starcoder2-15b-instruct-v0.1,0.04,0.3333333333333333,1.2476
starcoder2-15b-instruct-v0.1,0.0466666666666666,0.3333333333333333,1.2443
starcoder2-15b-instruct-v0.1,0.0466666666666666,0.34,1.241
starcoder2-15b-instruct-v0.1,0.0533333333333333,0.34,1.2178
starcoder2-15b-instruct-v0.1,0.0533333333333333,0.3866666666666666,1.1628
starcoder2-15b-instruct-v0.1,0.06,0.3866666666666666,1.1568
starcoder2-15b-instruct-v0.1,0.06,0.4,1.1514
starcoder2-15b-instruct-v0.1,0.0666666666666666,0.4,1.1242
starcoder2-15b-instruct-v0.1,0.0666666666666666,0.4066666666666667,1.1185
starcoder2-15b-instruct-v0.1,0.0733333333333333,0.4066666666666667,1.1112
starcoder2-15b-instruct-v0.1,0.0733333333333333,0.4133333333333333,1.1055
starcoder2-15b-instruct-v0.1,0.08,0.4133333333333333,1.0612
starcoder2-15b-instruct-v0.1,0.08,0.5,0.9276
starcoder2-15b-instruct-v0.1,0.0866666666666666,0.5,0.8858
starcoder2-15b-instruct-v0.1,0.0866666666666666,0.5133333333333333,0.8618
starcoder2-15b-instruct-v0.1,0.0933333333333333,0.5133333333333333,0.8429
starcoder2-15b-instruct-v0.1,0.0933333333333333,0.52,0.8301
starcoder2-15b-instruct-v0.1,0.1066666666666666,0.52,0.7776
starcoder2-15b-instruct-v0.1,0.1066666666666666,0.5266666666666666,0.7528
starcoder2-15b-instruct-v0.1,0.12,0.5266666666666666,0.7357
starcoder2-15b-instruct-v0.1,0.12,0.5666666666666667,0.6553
starcoder2-15b-instruct-v0.1,0.1333333333333333,0.5666666666666667,0.6203
starcoder2-15b-instruct-v0.1,0.1333333333333333,0.5733333333333334,0.5905
starcoder2-15b-instruct-v0.1,0.1466666666666666,0.5733333333333334,0.5739
starcoder2-15b-instruct-v0.1,0.1466666666666666,0.58,0.5725
starcoder2-15b-instruct-v0.1,0.1533333333333333,0.5866666666666667,0.5684
starcoder2-15b-instruct-v0.1,0.1533333333333333,0.5933333333333334,0.5678
starcoder2-15b-instruct-v0.1,0.16,0.5933333333333334,0.56
starcoder2-15b-instruct-v0.1,0.16,0.6,0.5421
starcoder2-15b-instruct-v0.1,0.1733333333333333,0.6,0.5222
starcoder2-15b-instruct-v0.1,0.1733333333333333,0.6066666666666667,0.4881
starcoder2-15b-instruct-v0.1,0.2,0.6066666666666667,0.3878
starcoder2-15b-instruct-v0.1,0.2,0.6266666666666667,0.3551
starcoder2-15b-instruct-v0.1,0.2333333333333333,0.6266666666666667,0.3207
starcoder2-15b-instruct-v0.1,0.2333333333333333,0.6333333333333333,0.3164
starcoder2-15b-instruct-v0.1,0.24,0.6333333333333333,0.3129
starcoder2-15b-instruct-v0.1,0.24,0.6533333333333333,0.2764
starcoder2-15b-instruct-v0.1,0.26,0.6533333333333333,0.2324
starcoder2-15b-instruct-v0.1,0.26,0.66,0.2284
starcoder2-15b-instruct-v0.1,0.2666666666666666,0.66,0.2187
starcoder2-15b-instruct-v0.1,0.2666666666666666,0.7,0.1913
starcoder2-15b-instruct-v0.1,0.2733333333333333,0.7,0.1875
starcoder2-15b-instruct-v0.1,0.2733333333333333,0.7266666666666667,0.0401
starcoder2-15b-instruct-v0.1,0.2866666666666667,0.7266666666666667,0.0272
starcoder2-15b-instruct-v0.1,0.2866666666666667,0.7333333333333333,0.0254
starcoder2-15b-instruct-v0.1,0.2933333333333333,0.7333333333333333,-0.0041
starcoder2-15b-instruct-v0.1,0.2933333333333333,0.74,-0.0171
starcoder2-15b-instruct-v0.1,0.3,0.74,-0.0221
starcoder2-15b-instruct-v0.1,0.3,0.7466666666666667,-0.0471
starcoder2-15b-instruct-v0.1,0.3066666666666666,0.7466666666666667,-0.0535
starcoder2-15b-instruct-v0.1,0.3133333333333333,0.7533333333333333,-0.0731
starcoder2-15b-instruct-v0.1,0.3133333333333333,0.76,-0.0838
starcoder2-15b-instruct-v0.1,0.32,0.76,-0.1544
starcoder2-15b-instruct-v0.1,0.32,0.7666666666666667,-0.1686
starcoder2-15b-instruct-v0.1,0.36,0.7666666666666667,-0.2823
starcoder2-15b-instruct-v0.1,0.36,0.7733333333333333,-0.2861
starcoder2-15b-instruct-v0.1,0.3666666666666666,0.7733333333333333,-0.3067
starcoder2-15b-instruct-v0.1,0.3666666666666666,0.78,-0.3243
starcoder2-15b-instruct-v0.1,0.4866666666666667,0.78,-0.5161
starcoder2-15b-instruct-v0.1,0.4866666666666667,0.7933333333333333,-0.532
starcoder2-15b-instruct-v0.1,0.4933333333333333,0.7933333333333333,-0.5414
starcoder2-15b-instruct-v0.1,0.4933333333333333,0.8,-0.5464
starcoder2-15b-instruct-v0.1,0.5,0.8,-0.6125
starcoder2-15b-instruct-v0.1,0.5,0.8066666666666666,-0.63
starcoder2-15b-instruct-v0.1,0.5066666666666667,0.8066666666666666,-0.6439
starcoder2-15b-instruct-v0.1,0.5066666666666667,0.8133333333333334,-0.6511
starcoder2-15b-instruct-v0.1,0.5333333333333333,0.8133333333333334,-0.73
starcoder2-15b-instruct-v0.1,0.5333333333333333,0.82,-0.7328
starcoder2-15b-instruct-v0.1,0.5666666666666667,0.82,-0.7766
starcoder2-15b-instruct-v0.1,0.5666666666666667,0.8466666666666667,-0.8215
starcoder2-15b-instruct-v0.1,0.5866666666666667,0.8466666666666667,-0.8777
starcoder2-15b-instruct-v0.1,0.5866666666666667,0.8533333333333334,-0.8864
starcoder2-15b-instruct-v0.1,0.5933333333333334,0.8533333333333334,-0.9137
starcoder2-15b-instruct-v0.1,0.5933333333333334,0.86,-0.9267
starcoder2-15b-instruct-v0.1,0.6466666666666666,0.86,-0.9787
starcoder2-15b-instruct-v0.1,0.6466666666666666,0.88,-1.0202
starcoder2-15b-instruct-v0.1,0.6533333333333333,0.88,-1.0206
starcoder2-15b-instruct-v0.1,0.6533333333333333,0.8866666666666667,-1.0223
starcoder2-15b-instruct-v0.1,0.6666666666666666,0.8866666666666667,-1.0319
starcoder2-15b-instruct-v0.1,0.6666666666666666,0.9066666666666666,-1.0632
starcoder2-15b-instruct-v0.1,0.6933333333333334,0.9066666666666666,-1.2302
starcoder2-15b-instruct-v0.1,0.6933333333333334,0.92,-1.2529
starcoder2-15b-instruct-v0.1,0.7333333333333333,0.92,-1.3165
starcoder2-15b-instruct-v0.1,0.7333333333333333,0.9266666666666666,-1.3379
starcoder2-15b-instruct-v0.1,0.7466666666666667,0.9266666666666666,-1.3905
starcoder2-15b-instruct-v0.1,0.7466666666666667,0.9333333333333332,-1.3933
starcoder2-15b-instruct-v0.1,0.7733333333333333,0.9333333333333332,-1.486
starcoder2-15b-instruct-v0.1,0.7733333333333333,0.94,-1.5145
starcoder2-15b-instruct-v0.1,0.78,0.94,-1.5285
starcoder2-15b-instruct-v0.1,0.78,0.96,-1.5499
starcoder2-15b-instruct-v0.1,0.7866666666666666,0.96,-1.5594
starcoder2-15b-instruct-v0.1,0.7866666666666666,0.9666666666666668,-1.5596
starcoder2-15b-instruct-v0.1,0.8133333333333334,0.9666666666666668,-1.8416
starcoder2-15b-instruct-v0.1,0.8133333333333334,0.9733333333333334,-1.8508
starcoder2-15b-instruct-v0.1,0.8333333333333334,0.9733333333333334,-1.9298
starcoder2-15b-instruct-v0.1,0.8333333333333334,0.98,-1.935
starcoder2-15b-instruct-v0.1,0.8666666666666667,0.98,-2.0549
starcoder2-15b-instruct-v0.1,0.8666666666666667,0.9866666666666668,-2.0873
starcoder2-15b-instruct-v0.1,0.9,0.9866666666666668,-2.4231
starcoder2-15b-instruct-v0.1,0.9,0.9933333333333332,-2.4732
starcoder2-15b-instruct-v0.1,0.9666666666666668,0.9933333333333332,-2.9669
starcoder2-15b-instruct-v0.1,0.9666666666666668,1.0,-3.0855
starcoder2-15b-instruct-v0.1,1.0,1.0,-4.0952
starcoder2-7b,0.0,0.0,inf
starcoder2-7b,0.0,0.0066666666666666,3.87
starcoder2-7b,0.0,0.0266666666666666,3.3378
starcoder2-7b,0.0066666666666666,0.0266666666666666,3.1287
starcoder2-7b,0.0066666666666666,0.06,2.6635
starcoder2-7b,0.02,0.06,2.5503
starcoder2-7b,0.02,0.0733333333333333,2.4627
starcoder2-7b,0.0266666666666666,0.0733333333333333,2.4599
starcoder2-7b,0.0266666666666666,0.1466666666666666,1.9986
starcoder2-7b,0.0333333333333333,0.1466666666666666,1.9755
starcoder2-7b,0.0333333333333333,0.18,1.7722
starcoder2-7b,0.04,0.18,1.753
starcoder2-7b,0.04,0.2933333333333333,1.4311
starcoder2-7b,0.0466666666666666,0.2933333333333333,1.4166
starcoder2-7b,0.0466666666666666,0.3,1.3796
starcoder2-7b,0.06,0.3,1.3698
starcoder2-7b,0.06,0.36,1.2681
starcoder2-7b,0.0666666666666666,0.36,1.2634
starcoder2-7b,0.0666666666666666,0.38,1.2424
starcoder2-7b,0.0866666666666666,0.38,1.1656
starcoder2-7b,0.0866666666666666,0.3866666666666666,1.129
starcoder2-7b,0.0933333333333333,0.3866666666666666,1.0933
starcoder2-7b,0.0933333333333333,0.4066666666666667,1.0593
starcoder2-7b,0.1,0.4066666666666667,1.052
starcoder2-7b,0.1,0.46,0.9092
starcoder2-7b,0.1066666666666666,0.46,0.9058
starcoder2-7b,0.1066666666666666,0.48,0.8757
starcoder2-7b,0.1133333333333333,0.48,0.8643
starcoder2-7b,0.1133333333333333,0.5266666666666666,0.7823
starcoder2-7b,0.12,0.5266666666666666,0.7732
